Employee_ID,Name,Age,Gender,Department,Education_Level,Join_Date,Training_Program,Training_Date,Training_Attended,Pre_Training_Score,Post_Training_Score,Manager_Feedback_Score,Peer_Feedback_Score
adb5d5e6-7b88-44ef-967f-309699d75477,Andrew Hickman,,MALE,Marketing,None,10/06/2023,Excel,14/06/2025,Yes,,,4,4
ed486d9a-e69f-4f78-af4c-113dc35f4e12,Jennifer Schroeder,57,Male,Finance,Bachelors,04/04/2022,Excel,19/08/2023,Absent,21,0,5,5
29fd9b08-074f-4459-97d3-d50e66978f77,Tammy Tanner,29,F,Finance,Masters,06/03/2025,Project Management,07/08/2025,Yes,82,,4,4
9167adea-f8f1-466b-b395-1a4532ce6a3d,Beverly Cook,,MALE,Support,PhD,21/09/2024,Cloud Computing,03/12/2025,P,,0,1,1
caf91924-4f2c-4cfd-9724-5dacf8673a5b,Rebecca Ellis,,FEMALE,Sales,PhD,21/09/2020,Excel,08/04/2021,A,,37,5,5
25c1f899-a89a-42c5-8037-42ae75e913d8,Christopher Parker,,F,Marketing,Masters,02/09/2021,Excel,22/03/2023,Present,,44,4,4
6fc1aaeb-340c-48c9-9b96-4db13c7686e5,David Cohen,43,Male,Sales,Diploma,01/11/2021,Cloud Computing,11/11/2023,Absent,,91,4,4
583f097d-28c9-468c-ba33-38e001440fa3,Joshua Long,,F,Sales,PhD,13/06/2023,Python,30/06/2024,Yes,,0,2,2
6054a51c-ab1e-4d74-b8e9-0ae9e9af6d28,Michelle Hines,59,Male,Support,Masters,27/01/2022,Python,14/12/2023,Absent,0,33,1,1
c356dee2-517f-4316-a0e5-886663380b42,Jennifer Murphy,,FEMALE,Sales,None,29/01/2021,Python,25/05/2023,No,0,80,,
df683491-baf9-4a9d-acbc-63edd1ddd3e6,James Jones,35,FEMALE,Marketing,Masters,03/09/2022,Communication,24/03/2023,A,,29,2,2
96203553-f860-458f-bd8c-c32eab7d09b2,Stephen Thompson,,M,HR,None,02/06/2024,Leadership,19/11/2024,Absent,,,4,4
805f6a69-5700-48c1-9cbe-693e5e7f78d9,Lisa Walton,,FEMALE,Engineering,None,07/04/2022,Communication,29/04/2024,Absent,0,,3,3
7ffcb3fe-2359-4443-bae6-1863a5448d55,Daniel Graham,38,FEMALE,Finance,PhD,03/12/2020,Communication,29/07/2022,Present,,0,,
6cfb6acc-2e0c-4488-a76f-7d3c62522f26,Eric Leonard,,M,Marketing,Bachelors,26/02/2023,Communication,04/06/2024,A,0,44,5,5
f47bffba-f561-4747-82d2-2c7408ea6671,Christopher Fleming,,FEMALE,Engineering,None,09/05/2024,Python,29/01/2026,Present,0,,1,1
58a64190-1527-4d08-8e65-050b77052c84,Ashley Huffman,,MALE,Engineering,None,03/03/2021,Leadership,16/05/2021,No,0,,,
931e5f89-20f5-428d-91ab-ac77292fadf7,Melissa Smith,56,Male,HR,Bachelors,14/05/2020,Cloud Computing,28/10/2021,No,0,42,,
4d8e6d5e-0df4-43bb-8577-d3a56c262577,Patrick Wilson,29,F,Support,Bachelors,07/09/2023,Python,30/12/2023,Present,,0,0,0
793a650c-c7ef-48e2-9f71-7ac680871ba9,Sarah Bonilla,42,FEMALE,Support,PhD,04/02/2024,Cloud Computing,23/11/2025,Present,,27,3,3
6c8f8833-fb11-4ab6-adc8-6df8c9162eb7,Janet Leonard,,Male,Marketing,Diploma,19/03/2021,Leadership,01/11/2021,P,97,,5,5
ef263a84-f2bd-409b-964d-36b601c7ea8b,Deanna Robertson,,M,Sales,PhD,18/07/2021,Leadership,10/02/2022,P,0,0,0,0
481e67f3-76fa-4828-8c6d-5a716f54d2b9,Sean Stevens,27,MALE,Engineering,Masters,19/02/2024,Python,28/10/2026,Yes,100,41,1,1
5e8a35cb-afb7-49ba-996d-9303e3a060f1,George Phillips,27,M,Support,Masters,09/09/2020,Project Management,19/05/2021,No,,,4,4
4b11c181-2dc1-4143-8469-8c048af190cb,Alan Nguyen,,F,Marketing,Masters,19/06/2020,Python,11/07/2022,Absent,,0,3,3
bb5e14d6-5b74-4fdd-9c97-46949884f76d,Parker Wright,,M,Support,None,26/07/2020,Excel,18/11/2021,No,41,,4,4
ba0ebd56-2045-4dbd-9835-e89b88f4ca54,Johnny Orozco,,MALE,Support,PhD,24/12/2020,Communication,01/07/2021,P,0,54,2,2
9e0383d4-b061-46ff-b541-82e8f8cb57ff,Roger Conley,,M,Engineering,Bachelors,16/03/2023,Cloud Computing,21/09/2024,No,100,80,3,3
1397df7e-0a67-4292-b55a-fc3d91ae757c,Andrew Lynch,,MALE,Sales,Bachelors,19/09/2024,Python,09/02/2026,No,0,65,3,3
b9b3c0ee-faf2-4e80-833b-de7861c50cc8,Timothy Curry,43,Female,HR,PhD,15/02/2021,Communication,26/08/2021,A,89,,3,3
f34ab83d-2f16-4f3d-85ba-ec786696dea0,Mikayla Newton,,MALE,Finance,Diploma,10/11/2023,Communication,17/03/2026,P,0,,5,5
f714bab7-6ef5-4d48-a98f-8c8ad63c04c0,Corey Green,36,F,Finance,PhD,09/12/2020,Cloud Computing,03/12/2022,A,95,0,1,1
daafb63a-8a06-4bf5-8398-18fc9d96bf5e,Melissa Williams,55,FEMALE,Marketing,Masters,05/11/2022,Project Management,24/05/2023,P,26,59,5,5
ef7b80f1-c2be-4bac-b717-f44b79112e22,Paul Osborne,,Male,Support,Masters,21/02/2025,Communication,21/06/2027,Absent,,30,4,4
9ac88b74-0bb5-4276-abe3-77f380667038,Christopher Mitchell,27,Female,Support,None,15/08/2022,Python,13/05/2023,Present,81,64,4,4
c8347776-04ca-43d1-b506-e337683d21a9,Carlos Adams,,MALE,Finance,Diploma,22/04/2020,Project Management,16/09/2021,Absent,,,4,4
04a06d55-398e-4dc0-b8a8-ab5518deabfe,Connie Carr,,MALE,Support,Diploma,21/12/2022,Cloud Computing,11/03/2025,A,88,,4,4
98610b0b-a280-460f-abb7-3dac96818aed,James Spears,23,FEMALE,Marketing,Masters,08/03/2024,Python,21/02/2026,P,0,0,5,5
58ab766f-51d4-4c6a-9731-4c4657cb9e5b,Brittany Dickerson,36,F,Marketing,Bachelors,16/05/2020,Communication,18/02/2022,P,75,,1,1
2b85ffb7-b29e-4126-8840-e78a35ec5514,Dawn Johnson,,F,Support,Diploma,05/07/2024,Leadership,04/06/2026,P,73,,2,2
7c8dc9d0-a1a2-42d0-941f-b001f7bcbc14,Haley Clark,51,M,Support,Bachelors,15/02/2025,Project Management,13/02/2027,A,21,60,1,1
c03832d0-4ab4-4a29-8dd5-16c85e8354da,Michael Johnson,51,F,Support,Diploma,08/10/2024,Excel,18/06/2026,Present,,0,,
909cca67-5a04-4fb0-9fcf-d7112aaf1966,Zachary Johnson,,F,Support,PhD,29/03/2025,Cloud Computing,06/02/2027,P,34,0,0,0
fd5baf20-7da2-4e1b-be7a-31688e72d17c,Thomas Anderson,27,Male,HR,None,06/09/2022,Python,21/11/2024,Absent,0,,,
3618187c-37e2-4c86-a54f-da3118d3ab67,Laura White MD,,F,HR,Bachelors,25/04/2021,Cloud Computing,13/07/2021,No,,,1,1
c053f253-5a1e-490d-a894-844f8cd1692d,Steven Ramirez,,Female,HR,PhD,05/09/2023,Excel,26/08/2025,Present,,0,0,0
e27f7dc7-aa0b-46ea-9b0b-249da159bef3,Madeline Fields,,Female,Marketing,Bachelors,10/05/2023,Cloud Computing,15/07/2023,Present,0,0,3,3
39a01a0b-6465-4945-8852-787c891edaa2,Kathleen Marshall,,MALE,Sales,Masters,15/07/2024,Project Management,01/01/2026,Yes,,25,3,3
2d78f04b-df93-45ac-ac85-66f0282f0aa6,Aaron Gallegos,60,F,Sales,Bachelors,02/02/2024,Python,31/01/2025,No,,71,2,2
e8438f65-aef0-444b-ac19-ee3da7fc1bad,Kevin Barnes,,Male,Marketing,None,18/03/2024,Python,22/10/2024,P,0,89,3,3
076f3b07-a2ec-477a-b05a-1bef690903c4,Brenda Harvey,,Female,Finance,PhD,28/10/2023,Project Management,06/11/2025,No,,0,3,3
68a57ee7-bb6e-4d06-9211-d6cc997d4ca9,Erika Wright,,Male,Finance,Masters,13/12/2020,Leadership,27/02/2021,A,,,2,2
1749939d-af32-4af5-b8cf-536aa02072d9,Alison Guzman,42,Female,Marketing,Bachelors,08/02/2025,Project Management,13/11/2026,P,48,,,
316a8466-dd0a-4a6e-82e6-e14d8d53a190,Candice Wood,,MALE,Sales,PhD,30/07/2023,Cloud Computing,12/09/2025,A,0,,0,0
b6799210-efe8-4716-b8e0-0f782cdaa0b2,Erica Carter,50,F,Support,Diploma,20/04/2022,Communication,03/05/2023,Yes,0,,0,0
758daaee-760f-4d95-93dd-bda134fe6da8,Larry Fritz,58,MALE,Finance,None,11/07/2020,Python,26/09/2021,Present,0,,0,0
a4316e6c-800e-4610-b61e-b7e3f909c46c,Larry Rivera,,Male,Marketing,None,08/10/2021,Cloud Computing,14/09/2022,Absent,,,3,3
f664b2b9-b8d8-4619-b653-8a693eaf5f08,Paul Fleming,,Female,Finance,None,14/08/2021,Communication,12/11/2022,A,97,,1,1
785fa1ad-fedb-4a32-850f-7bdcddf7d263,Andrea Butler,,Female,Marketing,Diploma,21/09/2023,Cloud Computing,31/05/2024,A,65,0,1,1
1ef8aca7-898f-4586-b74a-3db6e223afc0,Lisa Hays,,FEMALE,Sales,None,23/06/2022,Excel,04/05/2023,Absent,,,3,3
b9dd378e-d3e7-4cd9-bb16-34537042eb9e,Robert Clayton,,M,Engineering,None,19/06/2020,Python,11/11/2022,A,0,,2,2
ed696cb3-b774-461d-a641-01fa5d0607cc,Marie Patterson,48,MALE,Engineering,None,08/08/2020,Communication,24/04/2022,Absent,0,84,4,4
4333240a-d8d9-4ad8-a55f-30b91a8709bd,Lauren Moody,,FEMALE,Marketing,Masters,27/04/2021,Cloud Computing,30/01/2023,No,0,,4,4
56ff66fd-a812-4f1b-a9b3-5bf25dd09e34,David Olson,46,Female,Finance,PhD,13/09/2021,Project Management,05/11/2021,Absent,,,0,0
b197603c-a45c-4178-947c-903018dd3aea,Steven Vasquez,,F,Marketing,None,07/07/2022,Excel,19/12/2022,Absent,,0,1,1
4b9842c5-57aa-4681-828f-54aac1c97ab6,Erin Cole,43,Female,Finance,Bachelors,07/05/2022,Leadership,27/09/2022,No,0,0,0,0
09268f85-982c-4129-8679-fe6e91779972,Brittany Roberts,,MALE,Sales,Bachelors,17/06/2022,Project Management,10/11/2023,Yes,0,,1,1
5cdb7eda-9044-4ec6-9ef0-195ee152dc3a,Elizabeth Baldwin,,MALE,Engineering,PhD,22/02/2022,Excel,29/07/2023,No,0,,1,1
b68c55b2-79ac-446d-8e03-87ada246ea52,Edward Manning,38,MALE,Marketing,PhD,03/02/2025,Excel,20/05/2027,No,63,,2,2
dbf11941-4ad6-43d0-9b81-ce242582bca6,Mark Johnson,,MALE,Finance,Masters,11/05/2021,Python,11/01/2022,P,0,,3,3
95906901-25fb-4421-8d8e-8fdb954e95fb,Jackson Romero,,FEMALE,Engineering,Masters,24/01/2022,Communication,09/05/2024,Yes,56,,3,3
e666a9b4-9e53-44dc-ba1a-fd6767e56f19,Gregory Moore,41,FEMALE,Support,PhD,29/08/2024,Excel,28/04/2026,No,0,57,3,3
60c336eb-5fd6-49e6-85f9-70f75075b7d1,Karina Jackson,,F,HR,Masters,11/07/2024,Leadership,10/09/2026,Absent,,0,2,2
e5aa8c5a-7be7-4206-ace6-2f9f7b67caba,Michael Brown,,F,Sales,Masters,24/09/2024,Python,05/11/2024,No,0,,,
266c3392-396c-4135-b4d8-8c514f2ed3eb,Richard Mccormick,53,FEMALE,Finance,Masters,06/03/2022,Excel,22/09/2023,A,0,,0,0
91c4b8c6-7596-4b93-bfb0-b7b65b43ae1a,Susan Larsen,,FEMALE,Support,Bachelors,09/12/2021,Project Management,26/08/2022,Absent,,0,2,2
33d9014f-bdca-4089-ba76-8ae2e5ec276c,Andrew Sims,55,MALE,Marketing,PhD,21/09/2024,Project Management,13/05/2027,Present,0,,1,1
8da40d27-457f-4a84-9133-ded481e60c4c,Sarah Medina,56,Male,Finance,None,25/01/2023,Cloud Computing,27/07/2024,Absent,,0,5,5
725687c2-0e54-4d51-8c44-5778f86e92d6,Danielle Scott,,Female,Engineering,None,09/12/2020,Python,24/08/2023,Yes,55,0,2,2
db869a02-a69b-4d21-afb3-8c42b0901da2,Michael Bryant,,Male,Marketing,Masters,26/10/2021,Communication,24/03/2024,Yes,,79,2,2
8d4e46c5-4409-40e2-9bf0-72e7fab87bb6,Patrick Quinn,42,Female,Finance,Bachelors,09/08/2020,Excel,11/03/2022,Present,80,0,1,1
85c65764-21ee-4a3d-a733-c344e7f8daa8,Daniel Sanchez,41,FEMALE,Finance,Bachelors,21/10/2020,Project Management,16/07/2022,A,0,,4,4
89747baf-1928-4cfc-b6da-7bc37a2f2c57,Amber Tyler,,F,Support,Masters,17/03/2025,Python,16/04/2025,Yes,0,0,4,4
71203b7a-1dcc-4f24-ba71-ce7b3248f699,Craig Daniels,,M,Support,None,19/11/2020,Cloud Computing,21/10/2021,P,,34,5,5
91bf903d-4cca-4dda-bcbb-26279929c7c7,Jeffrey Stein,,Female,Marketing,Bachelors,03/02/2022,Excel,17/07/2023,No,58,,5,5
96c49c44-31de-44f6-a483-39f7c7036a4c,Lisa Bryant,33,Male,Marketing,Masters,12/01/2024,Python,25/11/2025,Yes,,,0,0
99f2587c-683c-4806-812a-dc5540728ad4,Mark Murphy,35,M,Marketing,Masters,08/04/2020,Excel,21/08/2020,Absent,0,,5,5
a5310be0-f391-4a36-88a4-36ae83a2a06f,Sean Wright,,MALE,HR,Masters,17/05/2024,Python,26/11/2025,A,,,,
4f0dc7bc-80c8-4083-8faf-04baad8716e1,Ashley Sherman,,M,Finance,None,10/08/2022,Excel,16/08/2023,A,,,0,0
e4b3b66b-51b7-45ed-81ab-1df17cd21263,Julie Martin,,Male,Support,Masters,25/10/2021,Communication,21/11/2022,No,,67,2,2
4dfcf384-ac48-4af2-ae98-8798c2ac0d6d,Scott Peterson,42,Female,Sales,None,27/10/2020,Excel,21/10/2021,P,33,51,4,4
c75ee63d-318f-4980-aec2-85a6d29323e2,David Parker,,Male,Support,Diploma,05/11/2024,Project Management,03/11/2025,No,82,0,,
78ccd788-87c8-4346-8434-228151ec8f30,Eric Lynch,,M,Sales,PhD,11/11/2022,Excel,02/08/2024,P,,0,1,1
280906a9-52e2-4a8e-a793-b627ac00cd5e,James Jackson,48,Female,Sales,PhD,14/02/2025,Cloud Computing,30/05/2025,Absent,91,76,0,0
535fd8d2-2839-4888-a99f-8c039c310930,Veronica Valdez,,MALE,Engineering,Masters,10/08/2021,Leadership,10/08/2022,No,,0,0,0
3a8da127-44f6-4bef-b9f9-d376c79e049b,Kaitlyn Chase,51,F,HR,PhD,24/10/2023,Communication,16/05/2026,No,,0,3,3
556ed0d1-4e65-4eee-a51d-d64e5eec2af4,Sandra Stewart,,F,Finance,Bachelors,06/11/2022,Cloud Computing,18/07/2025,Present,,0,1,1
c33ffef7-64bf-4e8c-9033-89b46ce052ef,Philip Powell,,M,Sales,PhD,19/11/2022,Project Management,10/03/2024,Present,0,0,5,5
23d2789d-ce2c-4739-a552-abc65a86503a,Pamela Smith,54,FEMALE,Finance,None,29/09/2023,Project Management,05/01/2026,Absent,0,,2,2
418495a4-b777-4cb9-a97c-696b356766ec,James Morris,,Male,Marketing,None,26/12/2021,Python,16/05/2023,A,0,75,,
bd303739-8f5a-4787-8edd-8e22536019db,Daniel Shaw,46,Male,Marketing,PhD,09/07/2023,Excel,22/09/2024,Absent,53,0,1,1
2911268f-3e3e-47b3-930d-a4761b5982d2,John Griffith,,MALE,Sales,Masters,06/08/2022,Communication,30/10/2024,Absent,,43,4,4
0bc6a71b-f25b-46a6-b89c-2ef6f3b93ebe,Jeanette Moyer,24,FEMALE,HR,Bachelors,05/04/2024,Python,31/05/2024,P,0,46,0,0
9b510232-fca7-444d-87b7-6d173ff5ea79,Amy Brown,36,M,Engineering,Masters,29/05/2024,Excel,04/05/2025,Present,68,0,3,3
7028eb2d-5e94-42d6-89b3-889d46aaf714,Ashley Taylor,,F,Finance,Masters,07/03/2023,Communication,27/08/2025,A,95,31,4,4
bb81c774-c676-41b3-ba28-631653156a23,Christian Hernandez,55,Female,Marketing,Bachelors,22/11/2020,Excel,24/05/2022,No,,,,
1687819b-8fd4-4278-b332-d3ab92f77072,Garrett Payne,,F,HR,None,22/10/2022,Leadership,04/06/2023,A,22,,1,1
4a9a75f0-d13b-4a4d-87f1-6ab58e82373e,Brenda Carrillo,,M,Engineering,Diploma,26/06/2022,Project Management,08/09/2023,P,0,0,1,1
e7b4dcd3-5c79-4b20-9a7a-9b4ff50b1168,Nicole Lewis,,MALE,Support,PhD,08/12/2022,Leadership,27/10/2024,Absent,51,92,4,4
5cb9635c-75f7-4b07-ba49-62d177e43d33,Michael Padilla,52,Male,Sales,Masters,31/12/2022,Project Management,10/06/2023,No,,,2,2
05ec647e-eec4-42d0-bf66-02259a86a2f5,Martin Simmons,33,MALE,Support,Masters,09/06/2022,Python,29/10/2024,Present,40,83,2,2
87450d05-d4e8-4dd0-8c4b-c3d2cc5015cf,William Brooks,,Male,Engineering,PhD,27/05/2024,Leadership,05/05/2025,A,0,,3,3
f5b4aee1-0836-4865-bee3-36076feccac2,Rebecca Tyler,60,Female,Engineering,Bachelors,28/01/2025,Python,15/04/2025,Absent,,28,0,0
a266530e-5570-4efc-9327-1b56485b841f,Bernard Davis,,Female,Sales,Bachelors,13/06/2024,Python,12/11/2025,A,,,4,4
28815cd9-8821-4541-9cc1-fb5ec7d4a10f,Sarah Miller,,F,Support,None,05/01/2025,Communication,08/12/2026,Absent,0,36,5,5
30de0010-fe31-4408-a671-cd819c2b05eb,Pamela Jordan,,M,Sales,Bachelors,01/04/2024,Communication,17/12/2024,Absent,52,,,
e16b1b8c-e3ac-421a-b387-a60077391bee,Brittany Rivera MD,,Female,HR,Diploma,15/08/2022,Python,10/09/2024,No,0,0,,
c7f7040b-8718-4322-b43c-6de656fdc504,Samantha Reynolds,25,Female,Engineering,Masters,27/02/2025,Project Management,12/10/2027,Present,50,,,
01a069a2-4b37-417d-9322-04fb66c67afa,Jean Smith,44,MALE,Sales,Diploma,12/06/2020,Excel,23/07/2020,Absent,0,0,4,4
db06f072-4244-4fce-a686-d5c66d59ade7,Michael Nguyen,,M,Marketing,PhD,03/01/2023,Python,27/04/2024,A,,0,3,3
c519fd78-3348-4da0-aa57-c6e4a753297e,Tammy Barry,38,M,Finance,Bachelors,28/02/2024,Cloud Computing,22/08/2026,Absent,32,78,5,5
25f5ed6f-c5e2-4dcc-b058-4d2027111b60,Christopher Johnson,,M,Finance,Diploma,04/03/2025,Cloud Computing,04/08/2025,Present,84,0,3,3
5938949e-8a42-4ff0-a098-4689c78ae6ce,Erin Stewart,36,Female,Support,PhD,07/08/2020,Cloud Computing,24/03/2021,Yes,0,0,,
4d8cc9c6-33a2-447b-b574-6477a87da2af,William Hall,56,MALE,Sales,Masters,22/03/2022,Python,08/06/2022,Absent,0,0,3,3
2326e3d0-06fc-465a-9af7-dfe2c5b86c82,Terry Martinez,,Female,HR,Bachelors,10/02/2022,Excel,21/12/2023,P,0,,2,2
be7301e9-de16-40ea-b1a6-de4806822e13,Christine Williams,41,Male,HR,None,16/06/2023,Project Management,06/11/2024,P,0,0,,
c55f30a1-34a4-40e3-b2d9-ec3e66308af8,Robert Davis,30,F,Marketing,Masters,30/12/2023,Excel,06/04/2024,Absent,,95,4,4
b97a08ba-940b-434d-a9cc-edab81b74f35,Carla Clark,,Female,Finance,Bachelors,03/10/2021,Project Management,14/07/2022,No,0,39,1,1
bfeb32a4-5bbf-485b-9ad7-5864bd9ab6d9,Jennifer Clark MD,42,MALE,Engineering,None,04/06/2024,Python,01/10/2025,Yes,0,,3,3
823c794a-415a-43c1-ba5c-d4265c1faf7b,Jesus Smith,,Female,Engineering,PhD,29/07/2024,Python,22/04/2025,Present,,0,3,3
199ded5e-db84-4a96-b629-5eb4667a9b91,Tracy Copeland,,Female,Sales,Bachelors,02/11/2023,Leadership,23/03/2025,No,0,66,2,2
4cfa4f8a-a6e9-47ae-9909-f489f22929b6,Michael Santos,,Male,Support,Bachelors,16/12/2023,Python,23/06/2026,No,,,4,4
f388fef7-040e-4f47-b8ab-2513e03db918,Monica Merritt,44,Male,Engineering,Diploma,31/07/2023,Communication,01/11/2024,Yes,83,,3,3
2d675be3-3fbe-4756-98f0-2d4124074330,Bethany Moore,,FEMALE,Sales,Diploma,25/08/2020,Leadership,06/08/2022,Yes,0,0,0,0
98a0db61-0fa9-4695-89fb-4d4bc3254bc3,Sharon Guerrero,,FEMALE,Support,None,05/04/2024,Excel,10/08/2024,A,,,0,0
2850c932-d2c0-4ee4-aa35-567d9e181620,Christopher Stone,,MALE,Engineering,Masters,05/06/2023,Cloud Computing,11/02/2025,Absent,0,62,1,1
ab2dd056-cf71-4c2c-8f35-fdb9bdf18708,Shawn Rodriguez,,M,HR,PhD,21/07/2021,Python,15/06/2022,Absent,,,0,0
4e5a4392-343e-423f-bf5f-ca4f07acc717,Jake Skinner,38,Female,Sales,None,24/08/2021,Project Management,05/01/2023,P,,,,
54e28fa6-069c-4c0a-8884-4f88074a588f,John Moss,56,M,HR,Bachelors,30/12/2022,Project Management,24/06/2025,Present,,,3,3
8a1b0744-0be7-4352-a85c-0862e9e02d8d,Kyle Fox,,MALE,Finance,PhD,29/06/2021,Python,14/05/2023,A,66,,4,4
e5ae288f-5942-4395-83d3-01cf19a12723,Jason Jones,,FEMALE,Sales,Masters,11/08/2021,Excel,26/09/2021,Yes,29,31,5,5
db2c04c0-6a42-49c3-bbbe-0e9d76e51a12,Jessica Vincent,,Female,Support,PhD,23/04/2024,Cloud Computing,21/05/2026,P,70,69,,
e648d7ae-7830-4c6c-b9eb-17974fb9ef37,Bethany Douglas,40,M,Marketing,Diploma,09/04/2020,Leadership,21/09/2022,Absent,90,55,0,0
b7607067-ab1e-4b37-9d15-844df4f7bfdc,Johnathan Guerra,36,Female,Finance,Masters,17/05/2023,Communication,03/11/2024,Present,57,0,,
83c59c14-3824-462b-a036-971a323fdf19,Tom Perez,57,F,Marketing,None,14/02/2025,Cloud Computing,23/07/2026,A,0,0,4,4
6761f64e-b79e-4140-9844-1abdbe41635f,Lucas Wright,,M,HR,Masters,18/12/2020,Python,11/10/2021,Yes,65,,3,3
4d156c62-a8cc-4e3b-bae3-438e2f43b2f0,William Barnett,37,Male,Sales,Diploma,25/05/2022,Cloud Computing,20/11/2024,P,0,0,,
e2327c25-fcd6-4aba-93c1-392f8453d803,Steven Murphy,57,F,HR,None,08/09/2024,Leadership,29/09/2025,A,,0,,
bc85630c-9451-4f78-a52d-3404a94485e0,Amanda Bullock,,FEMALE,Support,Bachelors,15/06/2023,Python,03/10/2024,A,38,65,2,2
32a95261-cb50-4aa3-8c4a-ef81a1c2e70c,Alexis Walters,,F,Support,Masters,17/07/2023,Excel,21/08/2025,Absent,,0,3,3
02ff9754-5291-4b6d-a592-4c9f29714f1f,Karen Cooper,,Female,Sales,None,15/04/2022,Python,04/04/2024,Present,98,0,2,2
36ff812d-fe21-41fd-b3bd-185b67d920b3,Dennis Gonzales,,MALE,Marketing,Masters,05/03/2025,Communication,04/08/2025,Yes,42,0,1,1
ec83c4d7-83b5-4d03-84bd-23eba7cc4274,Zachary Lopez,43,Male,Finance,None,22/08/2022,Project Management,29/04/2025,No,,0,1,1
c5a24d77-7cc3-4e98-9f39-7fa5ce96cc5e,Mary Barnett,33,M,HR,Masters,02/03/2023,Project Management,29/07/2024,A,,31,3,3
10287c78-434b-433d-84e1-f69ec3659e51,Jessica Johnson,44,M,Finance,Bachelors,06/03/2023,Cloud Computing,27/12/2023,P,0,0,2,2
f99f5c06-3a24-4e17-9836-a02720507d45,Brian Pierce,32,FEMALE,Engineering,Bachelors,20/11/2024,Python,18/02/2025,A,59,0,1,1
4e998b76-58fd-470b-9f91-07d5205525c6,Juan Ayers,,Female,Sales,Masters,12/10/2022,Python,29/11/2023,Present,0,0,2,2
f0f5bdc1-d1ed-43ba-a5c6-5e052ebfaf4c,Kayla Thomas,33,F,Engineering,None,23/07/2024,Leadership,19/02/2025,Yes,,57,,
bbc0e8ed-32dc-40ee-8447-b659c6a22085,Kelly Chan,55,Male,Finance,Masters,25/02/2022,Cloud Computing,19/03/2023,Absent,,0,5,5
0c07e0e3-8669-4d31-87d2-e18fdc241f84,Heidi Hall,50,MALE,Sales,Bachelors,19/01/2025,Python,02/09/2026,Absent,66,,0,0
19a2a602-28a3-43a3-9fdd-67bb2ab05af8,Madison Trevino,44,F,Support,None,12/10/2024,Leadership,22/05/2025,Yes,0,0,1,1
b75168f6-c048-4d0b-ae3f-0127d7de7f4d,Tom Lynch,,FEMALE,Support,Masters,10/03/2022,Python,06/11/2023,P,,,5,5
f819fa11-f584-4e73-8c85-823847469fb7,Elizabeth Santana,,Male,Finance,Bachelors,26/12/2021,Excel,17/09/2024,Present,0,0,4,4
52696eeb-77cf-4eb6-b9fe-e842e4cc7065,Todd Smith,40,FEMALE,Engineering,Masters,06/11/2023,Leadership,07/01/2025,P,0,0,0,0
4fc55e4c-ab09-4c62-8e46-1d8bb555d6ee,Nicholas Wheeler,25,Male,HR,Diploma,27/05/2022,Communication,20/12/2022,P,88,0,,
23eaea4f-690e-4ee8-8152-caf60f29301d,Rodney Duran,,MALE,Support,Bachelors,31/10/2020,Communication,04/05/2022,Present,78,0,2,2
a565cd41-28d1-41db-894b-cc99642830f3,Kevin Wright,53,FEMALE,Support,None,30/04/2022,Leadership,22/04/2023,Present,68,,2,2
